satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
neutral or dissatisfied,Loyal Customer,39,Business travel,Business,4983,5,4,4,3,3,3,5,5,4,5,5,3,4,5,0,9
satisfied,Loyal Customer,60,Business travel,Business,4983,4,4,5,2,2,4,5,4,4,5,4,5,4,5,0,13
satisfied,Loyal Customer,37,Business travel,Business,2200,5,3,3,3,4,4,5,4,4,5,5,4,4,5,4,29
neutral or dissatisfied,Disloyal Customer,40,Business travel,Business,1004,5,3,4,3,2,2,3,4,2,5,2,3,4,3,14,23
neutral or dissatisfied,Loyal Customer,39,Business travel,Eco,1663,2,3,4,2,2,2,4,4,1,2,3,3,3,3,58,74
satisfied,Disloyal Customer,33,Personal Travel,Business,882,2,3,3,5,3,4,3,3,2,5,3,2,3,3,40,45
neutral or dissatisfied,Loyal Customer,42,Business travel,Eco,2296,3,4,3,4,1,2,3,1,3,3,2,3,1,3,54,62
satisfied,Disloyal Customer,32,Business travel,Business,1344,4,4,4,3,3,4,5,3,5,4,4,3,3,4,0,7
neutral or dissatisfied,Loyal Customer,50,Business travel,Business,1741,3,1,3,5,1,3,5,4,2,4,4,5,4,3,150,151
satisfied,Loyal Customer,59,Business travel,Eco,2506,1,3,3,5,2,4,3,4,3,3,1,4,4,3,0,16
neutral or dissatisfied,Loyal Customer,61,Personal Travel,Eco,1814,2,3,3,3,3,3,2,4,2,2,2,2,1,2,432,420
satisfied,Loyal Customer,40,Business travel,Business,2337,5,3,5,2,4,3,4,4,4,5,4,2,5,4,22,24
neutral or dissatisfied,Loyal Customer,48,Personal Travel,Eco,1586,3,3,3,2,3,3,4,3,2,4,4,3,3,3,3,0
satisfied,Loyal Customer,69,Personal Travel,Eco,2090,3,2,2,2,2,3,3,3,4,2,3,2,3,3,0,19
satisfied,Loyal Customer,31,Business travel,Business,1376,4,4,2,4,5,4,4,5,5,5,3,5,4,4,0,19
satisfied,Loyal Customer,58,Business travel,Eco,730,3,2,3,4,3,4,4,3,2,4,4,5,3,3,11,2
satisfied,Loyal Customer,37,Personal Travel,Eco,923,1,4,1,1,5,2,2,2,1,3,2,3,3,2,0,0
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco,649,3,4,3,4,3,3,2,4,3,3,2,4,2,3,0,0
satisfied,Disloyal Customer,52,Business travel,Business,1328,4,4,3,3,3,3,4,4,5,5,4,4,4,3,0,2
satisfied,Loyal Customer,52,Business travel,Eco,846,3,3,3,3,4,3,3,2,2,2,4,3,4,4,0,5
satisfied,Loyal Customer,44,Business travel,Business,739,5,3,5,3,5,4,4,4,4,3,5,5,5,3,3,20
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Eco,910,3,2,3,2,2,0,2,4,1,2,1,3,2,4,48,58
satisfied,Loyal Customer,36,Personal Travel,Eco,761,3,2,4,2,5,3,5,4,2,3,3,2,2,3,5,18
satisfied,Loyal Customer,28,Personal Travel,Eco,967,3,4,3,3,1,3,4,4,2,3,4,3,3,4,11,25
neutral or dissatisfied,Loyal Customer,55,Business travel,Eco Plus,2444,3,3,3,3,5,3,4,3,5,4,4,4,3,3,18,21
satisfied,Loyal Customer,12,Personal Travel,Eco,950,4,3,2,2,4,3,4,5,3,3,3,3,2,4,0,0
satisfied,Loyal Customer,30,Personal Travel,Eco Plus,1474,3,1,3,3,3,5,3,3,4,5,3,2,3,4,15,6
